Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,AvgTalkDuration(Secs),Satisfaction rating
ID0002,Becky,01-01-2021,09:12:58,Technical Support,Y,N,70,00:04:02,242,3
ID0005,Becky,01-01-2021,10:00:29,Payment related,Y,Y,95,00:01:00,60,3
ID0015,Becky,01-01-2021,11:55:41,Admin Support,Y,Y,48,00:03:47,227,4
ID0016,Becky,01-01-2021,11:55:41,Admin Support,Y,Y,63,00:05:26,326,2
ID0018,Becky,01-01-2021,11:57:07,Admin Support,N,N,,,0,
ID0035,Becky,01-01-2021,13:42:14,Streaming,Y,Y,119,00:01:31,91,5
ID0044,Becky,01-01-2021,14:47:02,Payment related,Y,Y,98,00:03:14,194,5
ID0055,Becky,01-01-2021,17:44:10,Streaming,Y,Y,35,00:01:19,79,3
ID0074,Becky,02-01-2021,11:26:53,Contract related,Y,Y,122,00:04:53,293,1
ID0079,Becky,02-01-2021,11:54:14,Contract related,Y,Y,58,00:03:28,208,3
ID0085,Becky,02-01-2021,12:41:46,Technical Support,Y,Y,106,00:04:22,262,5
ID0094,Becky,02-01-2021,13:04:48,Technical Support,Y,Y,80,00:00:53,53,3
ID0101,Becky,02-01-2021,13:45:07,Technical Support,N,N,,,0,
ID0105,Becky,02-01-2021,13:53:46,Technical Support,Y,Y,112,00:03:25,205,5
ID0106,Becky,02-01-2021,13:53:46,Payment related,Y,Y,65,00:04:57,297,3
ID0108,Becky,02-01-2021,14:22:34,Contract related,Y,N,55,00:02:32,152,1
ID0111,Becky,02-01-2021,15:10:05,Technical Support,Y,Y,53,00:00:56,56,3
ID0128,Becky,03-01-2021,10:52:19,Admin Support,Y,Y,102,00:05:26,326,4
ID0131,Becky,03-01-2021,10:58:05,Admin Support,Y,N,42,00:00:59,59,5
ID0139,Becky,03-01-2021,11:16:48,Technical Support,Y,Y,43,00:06:20,380,5
ID0159,Becky,03-01-2021,13:27:50,Admin Support,Y,Y,123,00:01:15,75,3
ID0160,Becky,03-01-2021,13:27:50,Streaming,Y,N,86,00:05:37,337,1
ID0187,Becky,04-01-2021,11:09:36,Streaming,Y,N,50,00:03:49,229,4
ID0191,Becky,04-01-2021,11:18:14,Contract related,Y,Y,45,00:06:31,391,5
ID0201,Becky,04-01-2021,12:15:50,Technical Support,Y,N,95,00:04:27,267,3
ID0216,Becky,04-01-2021,14:49:55,Technical Support,N,N,,,0,
ID0230,Becky,04-01-2021,17:39:50,Admin Support,Y,Y,117,00:03:40,220,3
ID0237,Becky,05-01-2021,10:00:29,Technical Support,Y,Y,33,00:02:30,150,1
ID0247,Becky,05-01-2021,11:49:55,Admin Support,Y,Y,81,00:01:14,74,4
ID0249,Becky,05-01-2021,12:00:00,Streaming,Y,Y,32,00:06:29,389,4
ID0260,Becky,05-01-2021,15:18:43,Admin Support,Y,Y,44,00:05:53,353,3
ID0265,Becky,05-01-2021,15:31:41,Contract related,Y,Y,68,00:04:21,261,3
ID0298,Becky,06-01-2021,11:12:29,Streaming,N,N,,,0,
ID0307,Becky,06-01-2021,12:07:12,Streaming,Y,N,102,00:05:53,353,5
ID0339,Becky,06-01-2021,17:21:07,Contract related,N,N,,,0,
ID0347,Becky,07-01-2021,09:07:12,Technical Support,Y,Y,26,00:01:10,70,3
ID0352,Becky,07-01-2021,10:14:53,Contract related,Y,Y,85,00:03:29,209,4
ID0357,Becky,07-01-2021,10:48:00,Streaming,N,N,,,0,
ID0368,Becky,07-01-2021,12:36:00,Contract related,Y,Y,122,00:01:40,100,4
ID0373,Becky,07-01-2021,13:30:43,Streaming,N,N,,,0,
ID0376,Becky,07-01-2021,13:42:14,Streaming,Y,Y,54,00:03:48,228,5
ID0386,Becky,07-01-2021,16:29:17,Technical Support,Y,Y,35,00:06:15,375,2
ID0411,Becky,08-01-2021,10:49:26,Technical Support,Y,Y,119,00:05:28,328,3
ID0412,Becky,08-01-2021,10:49:26,Streaming,Y,Y,68,00:05:17,317,1
ID0432,Becky,08-01-2021,13:17:46,Payment related,N,N,,,0,
ID0434,Becky,08-01-2021,13:43:41,Admin Support,Y,Y,16,00:05:46,346,3
ID0454,Becky,09-01-2021,10:22:05,Streaming,Y,Y,77,00:02:11,131,4
ID0465,Becky,09-01-2021,11:16:48,Admin Support,Y,Y,46,00:06:05,365,3
ID0473,Becky,09-01-2021,11:48:29,Payment related,Y,Y,87,00:05:45,345,5
ID0482,Becky,09-01-2021,12:40:19,Admin Support,Y,N,10,00:00:54,54,4
ID0485,Becky,09-01-2021,13:03:22,Contract related,Y,Y,120,00:04:28,268,1
ID0487,Becky,09-01-2021,13:39:22,Streaming,N,N,,,0,
